Item Name,Size,Quantity,Cost (Each),Total Cost,Link
ESP32,38pin type c,1,8.80,8.80,https://www.aliexpress.us/item/3256804511368849.html?gatewayAdapt=glo2usa4itemAdapt
Cherry MX2A Speed Silver 45g Linear Switch,PCB RGB LED,2,0.40,0.80,https://mechanicalkeyboards.com/products/cherry-mx2a-speed-silver-45g-linear?variant=48015859876140
EC11 w/ Push Button (rotary encoder),20mm Plum handle,1,0.96,0.96,https://www.aliexpress.us/item/3256806507128635.html?spm=a2g0o.productlist.main.4.58775f49hRM4Zj&aem_p4p_detail=20260401203727327308529100080001396089&algo_pvid=3bf982e0-6a6a-437c-9ac6-5a35cc93f648&algo_exp_id=3bf982e0-6a6a-437c-9ac6-5a35cc93f648-3&pdp_ext_f=%7B%22order%22%3A%22364%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.11%210.99%21%21%2135.03%216.80%21%402101c44517751010471831969e0923%2112000048311239360%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4b886c3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836311&curPageLogUid=TNzKFpQ5529N&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006693443387%7C_p_origin_prod%3A&search_p4p_id=20260401203727327308529100080001396089_1
Encoder Knob,O 20x13mm,1,0.99,0.99,https://www.aliexpress.us/item/3256808286803013.html?spm=a2g0o.detail.pcDetailBottomMoreOtherSeller.9.20ceO7yxO7yx7l&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=540a748e-8b1f-46c3-b78a-3aa1ebe5ea43&_t=gps-id:pcDetailBottomMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:540a748e-8b1f-46c3-b78a-3aa1ebe5ea43,tpp_buckets:668%232846%238116%232002&pdp_ext_f=%7B%22order%22%3A%22782%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%211.79%210.99%21%21%2112.24%216.73%21%402101e07217751013745081125e623f%2112000045300508097%21rec%21US%21%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4b886c3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836318&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005008473117765%7C_p_origin_prod%3A
TFT Display,3.5 inch,1,0.99,0.99,https://www.aliexpress.us/item/3256805988905985.html?gatewayAdapt=glo2usa
WS2812 LED Light strip,1m,1,0.99,0.99,https://www.aliexpress.us/item/3256806235758108.html?spm=a2g0o.productlist.main.1.13c73m8S3m8Spx&algo_pvid=6a534421-bd1c-43ce-ade8-976d91cdd846&algo_exp_id=6a534421-bd1c-43ce-ade8-976d91cdd846-0&pdp_ext_f=%7B%22order%22%3A%22610%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.97%210.99%21%21%218.97%210.99%21%402101d6fe17753218099341243e3e75%2112000037108413537%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4b886c3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836318&curPageLogUid=LLzwZOcf2y7q&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006422072860%7C_p_origin_prod%3A
Shine-through keycaps,Black-97,1,8.35,8.35,https://www.aliexpress.us/item/3256808975886837.html?spm=a2g0o.productlist.main.10.725364e8tUqlK7&algo_pvid=fe29c4d6-03ab-4dd2-829c-3730386d6133&algo_exp_id=fe29c4d6-03ab-4dd2-829c-3730386d6133-9&pdp_ext_f=%7B%22order%22%3A%224925%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.93%210.99%21%21%217.93%210.99%21%402101e62517751033797584805e0a17%2112000048150660051%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4b886c3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000201000927&curPageLogUid=l83MaH5p1L3j&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009162201589%7C_p_origin_prod%3A
USB-C Cable,100W Black,1,5.28,5.28,https://www.aliexpress.us/item/2255800615813072.html?spm=a2g0o.productlist.main.52.7d7a141aQhVMxN&aem_p4p_detail=2026040121191414350163501821300001431147&algo_pvid=dc4a0e3e-5fec-4f6b-a1d8-dd0cc295a0e0&algo_exp_id=dc4a0e3e-5fec-4f6b-a1d8-dd0cc295a0e0-51&pdp_ext_f=%7B%22order%22%3A%2236989%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.08%215.08%21%21%215.08%215.08%21%402101e2b017751035546376631ed123%2112000029365645650%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4b886c3c%3Bm03_new_user%3A-29895&curPageLogUid=WaE4Avt80yv6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000802127824%7C_p_origin_prod%3A&search_p4p_id=2026040121191414350163501821300001431147_14
22AWG Electric Wire,25m,1,0.99,0.99,https://www.aliexpress.us/item/3256807019779669.html?gatewayAdapt=glo2usa
Resistor Set,300pcs in box,1,3.37,3.37,https://www.aliexpress.us/item/3256807120498276.html?spm=a2g0o.productlist.main.46.4f8e11896hdGlO&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005007306813028%7C_p_origin_prod%3A1005008313388835&algo_pvid=fb0551d8-fbe9-4fd5-a30d-af204a9699a0&algo_exp_id=fb0551d8-fbe9-4fd5-a30d-af204a9699a0&pdp_ext_f=%7B%22order%22%3A%225675%22%2C%22orig_sl_item_id%22%3A%221005007306813028%22%2C%22orig_item_id%22%3A%221005008313388835%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.22%214.11%21%21%2156.32%2128.16%21%4021033d1217751040844707581e22ee%2112000057199650160%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4b886c3c%3Bm03_new_user%3A-29895&gatewayAdapt=4itemAdapt
